month,weekday,mean,count,std
1,0,38711.80872083333,4,2150.250036330045
1,1,38495.0479125,4,3309.7049541616007
1,2,38227.10980666666,5,3381.752523236987
1,3,37507.697349999995,5,2875.1372600127606
1,4,38463.453853333325,5,2368.5776308232817
1,5,38507.1183375,4,2509.308514879992
1,6,37126.40311666666,4,1291.1665479617166
2,0,47935.06100416667,4,4280.052384609971
2,1,47778.95312083332,4,6202.286210867404
2,2,47143.28175416666,4,4667.241068421453
2,3,48929.23455416666,4,4932.8899474024165
2,4,48192.00194999999,4,3585.9288606141313
2,5,45177.14892083334,4,2658.767891692663
2,6,45213.01693333333,4,3349.186915396241
3,0,55045.80638333334,5,6657.319711045457
3,1,53932.677379166664,4,3648.6472095409385
3,2,56886.9586125,4,4245.500614009878
3,3,54274.90808333333,4,3884.4087538455756
3,4,57116.86827083332,4,4795.569722645806
3,5,54826.924199999994,5,5997.242609724132
3,6,55222.61676333334,5,6418.317011257321
4,0,65006.456154166655,4,3785.0223378386877
4,1,64702.69689333333,5,4528.44950326626
4,2,62859.28460333333,5,5115.123064297069
4,3,65063.84046666665,4,3717.4335164010977
4,4,66744.82796666666,4,2142.543905952153
4,5,65160.52740833332,4,4944.5264573668355
4,6,64875.29521249999,4,2632.752556871072
5,0,67859.718325,4,3516.0606605490852
5,1,67963.54237916667,4,2014.8878664850095
5,2,67559.67116666665,4,1156.5455974744075
5,3,67209.53232,5,1944.539175894748
5,4,66953.88223666667,5,4251.6305742044315
5,5,66141.76364333332,5,3077.7267222891137
5,6,68245.0411375,4,2791.4062977724343
6,0,57460.00153333333,5,2063.847709273989
6,1,54799.82935833334,4,3958.544258939414
6,2,55725.1222125,4,2762.740771778104
6,3,57703.91210833332,4,1834.4821981428722
6,4,55991.201075,4,3862.9526639410083
6,5,57262.00800833332,4,4266.080123114892
6,6,58609.365659999996,5,2667.2466346756228
7,0,65516.96182083333,4,4049.2699739932623
7,1,64631.09449333333,5,2033.5540688395088
7,2,66522.23414333332,5,1772.2545413060238
7,3,64855.568949999986,5,2528.570671858453
7,4,64352.4636875,4,2384.733269485971
7,5,65854.29610416666,4,1607.9841191568448
7,6,65790.45155416665,4,3865.87667690776
8,0,69953.01197083332,4,4194.52102322071
8,1,70017.55224583331,4,1342.5105626557688
8,2,67325.07552500001,4,2703.59221304955
8,3,69093.98389999998,4,4008.6064729773993
8,4,70855.74267666666,5,3500.7513663836685
8,5,70590.17597,5,2205.0725239360377
8,6,71342.15467666667,5,3049.2521380869052
9,0,62868.61038666665,5,3791.313201159585
9,1,62473.20063,5,5377.460805956305
9,2,61690.10848333333,4,2837.4767529652113
9,3,64111.31588750001,4,3621.122606107528
9,4,62032.543516666665,4,5244.8391862544295
9,5,63247.88387500001,4,5060.853066907313
9,6,61608.7955625,4,3698.7802850906196
10,0,57128.47608749999,4,3803.7797629360593
10,1,54931.00156666666,4,4142.348800376801
10,2,56883.68090666666,5,7530.271471139206
10,3,57580.301899999984,5,5726.539812198436
10,4,56846.818926666674,5,6650.871032018887
10,5,56302.636504166665,4,2875.634275300322
10,6,57261.61130416667,4,4631.384885810558
11,0,45313.3362125,4,2025.212366531398
11,1,45155.56322499999,4,3726.122575609677
11,2,44571.818308333335,4,3280.80682737674
11,3,44049.59391249999,4,2233.45758998555
11,4,44371.4826125,4,3233.199684330171
11,5,44297.150219999996,5,4893.478674395365
11,6,43963.60669,5,4267.997759548839
12,0,36465.16821666666,5,1550.58510460311
12,1,36659.712199999994,5,850.0222805016532
12,2,36194.22606333333,5,830.5964709438299
12,3,37329.52203333333,4,1117.5086320370772
12,4,35862.83823749999,4,1168.8113868529697
12,5,35432.589308333336,4,435.01365939388495
12,6,36299.829954166664,4,937.6953360578506
